project_name,total_points,programming_background,pre_skills,Concept (Total),File Structure (Total),Project Description (Total),Approach (Total),Code (Total),Style (Total),Documentation (Total),Tests (Total),Fudge Points,Extra Credit,Total Score,instructor,quarter,lines_code,num_imports,imports,lines_comments,num_comments_words,num_functions,num_classes,num_tests,num_asserts,num_logic,num_loops,project_quarter
SP21_B00_008,102.52,I've never programmed before!,None of these,5.0,4.5,10.0,20.0,30.0,10.0,10.0,10.0,,,103.5,Ellis,SP21,60,8,"['numpy', 'pandas', 'sklearn.linear_model', 'matplotlib.pyplot', 'numpy', 'pandas', 'sys', 'my_module.functions']",72,472,5,1,3,11,1,5,SP21
SP21_B00_009,97.69,,,5.0,5.0,10.0,15.0,28.0,10.0,10.0,9.0,,,92.5,Ellis,SP21,114,4,"['random', 'random', 'functions', 'sys']",67,418,5,1,4,15,7,3,SP21
SP21_B00_010,100.79,I've never programmed before!,None of these,5.0,3.0,10.0,20.0,30.0,8.5,9.5,10.0,,,96.0,Ellis,SP21,182,3,"['collections', 'sys', 'my_module.functions']",157,699,13,1,5,19,16,5,SP21
SP21_B00_011,89.65,I've never programmed before!,None of these,5.0,4.5,9.0,10.0,19.0,8.0,8.0,8.0,,,71.5,Ellis,SP21,62,4,"['string', 'random', 'sys', 'my_module.functions']",130,650,8,0,11,27,5,5,SP21
SP21_B00_012,100.02,Java,Solve basic problems using programmatic solutions,5.0,4.0,10.0,19.0,30.0,9.0,10.0,9.0,,,96.5,Ellis,SP21,114,4,"['random', 'string', 'sys', 'my_module.functions']",82,516,9,0,4,29,10,4,SP21
SP21_B00_013,95.49,I've never programmed before!,None of these,5.0,4.0,10.0,20.0,30.0,10.0,10.0,10.0,,,99.0,Ellis,SP21,67,2,"['sys', 'my_module.functions']",56,336,4,0,4,12,3,4,SP21
SP21_B00_014,82.39,I've never programmed before!,None of these,5.0,4.0,8.0,15.0,15.0,9.0,0.0,0.0,,,56.0,Ellis,SP21,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,SP21
SP21_B00_015,97.08,I've never programmed before!,None of these,5.0,4.0,10.0,20.0,20.0,10.0,4.0,10.0,,,90.0,Ellis,SP21,189,13,"['random', 'IPython.display', 'IPython.display', 'IPython.display', 'IPython.display', 'IPython.display', 'IPython.display', 'IPython.display', 'IPython.display', 'IPython.display', 'random', 'sys', 'my_module.functions']",38,349,20,0,19,57,34,6,SP21
SP21_B00_016,82.04,I've never programmed before!,None of these,0.0,5.0,10.0,20.0,30.0,10.0,10.0,8.0,,,95.0,Ellis,SP21,305,3,"['random', 'random', 'my_module']",355,2457,26,0,8,20,38,8,SP21
SP21_B00_017,101.6,"Python, Java, C/C++","Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Write and debug small Python programs, Execute Python programs on your local computer, using notebooks and the command line",5.0,4.0,10.0,20.0,28.0,10.0,10.0,10.0,,,97.5,Ellis,SP21,36,3,"['numpy', 'sys', 'my_module.functions']",67,324,4,0,4,4,0,1,SP21
SP21_B00_018,81.29,I've never programmed before!,None of these,5.0,4.5,10.0,18.0,30.0,9.0,9.0,8.0,,,93.5,Ellis,SP21,71,3,"['classes', 'sys', 'my_module.functions']",34,269,3,1,3,8,2,1,SP21
SP21_B00_019,73.87,Java,None of these,5.0,3.5,10.0,20.0,17.0,7.5,0.0,0.0,,,63.0,Ellis,SP21,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,SP21
SP21_B00_020,94.54,I've never programmed before!,None of these,5.0,5.0,10.0,18.0,30.0,10.0,10.0,7.0,,,96.0,Ellis,SP21,126,3,"['random', 'random', 'fractions']",14,279,10,0,6,10,8,0,SP21
SP21_B00_021,100.92,Maple,Solve basic problems using programmatic solutions,5.0,4.5,10.0,20.0,30.0,8.5,10.0,7.5,,,98.5,Ellis,SP21,558,13,"['PCandNPC', 'copy', 'random', 'pytest', 'CharacterClass', 'Creatures', 'PCandNPC', 'Creatures', 'CharacterClass', 'time', 'random', 'sys', 'PCandNPC']",397,2614,22,11,0,0,34,1,SP21
SP21_B00_022,100.83,C/C++,Solve basic problems using programmatic solutions,5.0,4.5,10.0,20.0,30.0,10.0,10.0,10.0,,,101.0,Ellis,SP21,118,4,"['numpy', 'random', 'sys', 'my_module.functions']",93,485,6,0,12,27,18,1,SP21
SP21_B00_023,91.92,I've never programmed before!,None of these,5.0,4.0,10.0,20.0,30.0,10.0,8.0,10.0,,,97.0,Ellis,SP21,146,2,"['random', 'random']",31,187,8,2,3,10,4,1,SP21
SP21_C00_001,90.84,I've never programmed before!,None of these,5.0,5.0,10.0,18.0,28.0,10.0,10.0,7.0,,,93.0,Bardolph,SP21,46,4,"['time', 'threading', 'sys', 'my_module.functions']",61,353,6,2,3,13,4,2,SP21
SP21_C00_002,90.55,I've never programmed before!,None of these,5.0,4.5,10.0,20.0,27.0,9.5,10.0,10.0,,,97.0,Bardolph,SP21,100,3,"['random', 'sys', 'time']",66,357,6,1,5,12,2,3,SP21
SP21_C00_003,84.89,,,5.0,5.0,10.0,16.0,28.0,5.0,10.0,7.0,,,86.0,Bardolph,SP21,64,0,[],17,221,4,1,4,8,8,0,SP21
SP21_C00_004,93.35,I've never programmed before!,None of these,5.0,5.0,10.0,18.0,30.0,8.5,5.0,6.0,,,87.5,Bardolph,SP21,22,2,"['sys', 'my_module.functions']",26,204,4,1,3,6,1,1,SP21
SP21_C00_005,94.64,I've never programmed before!,None of these,5.0,4.0,10.0,20.0,27.5,10.0,3.0,9.0,,,89.5,Bardolph,SP21,375,4,"['time', 'threading', 'sys', 'my_module.functions']",62,708,18,0,5,5,11,0,SP21
SP21_C00_006,78.39,,,5.0,4.0,6.5,15.0,24.0,8.0,8.0,5.0,,,76.5,Bardolph,SP21,35,4,"['matplotlib.pyplot', 'matplotlib.pyplot', 'sys', 'my_module.functions']",39,244,4,1,4,5,0,0,SP21
SP21_C00_007,89.46,I've never programmed before!,None of these,5.0,4.5,10.0,20.0,30.0,10.0,10.0,10.0,,,99.5,Bardolph,SP21,201,3,"['random', 'sys', 'my_module.functions']",53,284,4,0,4,10,3,2,SP21
SP21_C00_007,89.46,I've never programmed before!,None of these,5.0,4.5,10.0,20.0,30.0,10.0,10.0,10.0,,,99.5,Bardolph,SP21,201,3,"['random', 'sys', 'my_module.functions']",53,284,4,0,4,10,3,2,SP21
SP21_C00_008,88.23,I've never programmed before!,None of these,5.0,4.0,10.0,20.0,30.0,9.0,9.0,6.0,,,93.0,Bardolph,SP21,67,2,"['datetime', 'time']",45,223,7,1,0,0,5,3,SP21
SP21_C00_009,101.44,Java,None of these,5.0,5.0,10.0,20.0,30.0,10.0,10.0,9.5,,,99.5,Bardolph,SP21,29,2,"['sys', 'my_module.functions']",54,277,3,0,3,0,0,4,SP21
SP21_C00_010,90.72,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,29.0,10.0,10.0,7.0,,,97.5,Bardolph,SP21,142,9,"['time', 'random', 'IPython.display', 'classes', 'classes', 'nlkt', 'numpy', 'random', 'my_module.functions']",84,364,8,2,6,7,6,2,SP21
SP21_C00_011,100.91,Python,"Program at an introductory level in the Python programming language, Solve basic problems using programmatic solutions, Write and debug small Python programs",5.0,4.0,10.0,18.0,30.0,10.0,10.0,8.0,,,98.0,Bardolph,SP21,147,3,"['wikipedia', 'sys', 'my_module.functions']",86,396,6,0,6,8,13,0,SP21
SP21_C00_012,93.81,"Python, Java, Javascript","Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Write and debug small Python programs, Execute Python programs on your local computer, using notebooks and the command line, Describe and implement best practices in Python, keeping in mind that programming is done by and for humans",5.0,5.0,10.0,20.0,28.0,8.5,3.0,10.0,,,89.5,Bardolph,SP21,93,3,"['random', 'IPython.display', 'IPython.display']",27,241,5,0,5,10,5,2,SP21
SP21_C00_013,99.16,I've never programmed before!,None of these,5.0,4.0,10.0,16.0,30.0,10.0,10.0,7.0,,,92.0,Bardolph,SP21,147,4,"['time', 'random', 'sys', 'my_module.functions']",36,291,5,0,5,8,4,0,SP21
SP21_C00_014,100.22,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,29.0,10.0,10.0,10.0,,,99.0,Bardolph,SP21,47,2,"['string', 'random']",70,280,6,0,5,21,1,1,SP21
SP21_C00_015,81.23,I've never programmed before!,None of these,5.0,4.5,10.0,19.0,28.0,9.0,8.5,4.5,,,88.5,Bardolph,SP21,41,2,"['sys', 'my_module.functions']",71,360,4,1,1,5,3,1,SP21
SP21_C00_016,100.53,"Java, R, C/C++",Solve basic problems using programmatic solutions,5.0,5.0,10.0,20.0,30.0,9.0,10.0,10.0,,,103.0,Bardolph,SP21,341,3,"['random', 'pygame', 'my_module.functions']",147,804,8,0,5,10,20,47,SP21
SP21_C00_017,70.25,I've never programmed before!,None of these,5.0,4.5,10.0,20.0,29.0,9.5,3.0,7.5,,,0.0,Bardolph,SP21,73,2,"['sys', 'my_module.functions']",18,351,4,0,4,13,2,4,SP21
SP21_C00_018,78.39,I've never programmed before!,None of these,5.0,3.0,9.0,20.0,25.0,10.0,3.0,0.0,,,75.0,Bardolph,SP21,79,2,"['sys', 'my_module.functions']",24,234,10,2,10,2,2,2,SP21
SP21_C00_019,94.77,"Java, Javascript, SPSS",Solve basic problems using programmatic solutions,5.0,5.0,10.0,16.0,27.0,9.0,10.0,8.5,,,90.5,Bardolph,SP21,229,2,"['random', 'random']",63,602,4,0,4,8,4,2,SP21
SP21_C00_020,75.55,,,5.0,4.5,10.0,20.0,26.0,10.0,3.0,7.0,,,85.5,Bardolph,SP21,53,2,"['sys', 'my_module.functions']",21,180,7,2,3,12,6,0,SP21
SP21_C00_021,100.12,"Java, C/C++",Solve basic problems using programmatic solutions,5.0,4.0,10.0,20.0,30.0,10.0,10.0,10.0,,,99.0,Bardolph,SP21,148,4,"['random', 'my_module.classes', 'sys', 'my_module.functions']",202,973,14,1,10,22,7,10,SP21
SP21_C00_022,96.05,R,None of these,5.0,5.0,10.0,18.0,30.0,10.0,6.0,7.5,,,91.5,Bardolph,SP21,49,2,"['sys', 'my_module.functions']",22,141,3,0,3,6,2,0,SP21
SP21_C00_023,101.07,Javascript,None of these,5.0,4.0,10.0,20.0,30.0,10.0,10.0,10.0,,,101.0,Bardolph,SP21,104,4,"['random', 'time', 'sys', 'my_module.functions']",134,861,6,0,6,11,10,0,SP21
SP21_C00_024,86.01,I've never programmed before!,None of these,5.0,4.0,10.0,20.0,30.0,10.0,10.0,9.0,,,98.0,Bardolph,SP21,94,2,"['sys', 'my_module.functions']",55,529,4,1,4,4,12,1,SP21
SP21_C00_025,95.61,I've never programmed before!,None of these,5.0,5.0,10.0,18.0,30.0,10.0,10.0,8.5,,,98.5,Bardolph,SP21,63,7,"['numpy', 'pandas', 'matplotlib.pyplot', 'matplotlib.dates', 'datetime', 'sys', 'my_module.functions']",89,429,5,0,5,3,1,0,SP21
SP21_C00_026,93.14,I've never programmed before!,None of these,4.0,4.0,8.0,10.0,30.0,9.0,4.0,10.0,,,79.0,Bardolph,SP21,33,5,"['string', 'random', 'nltk', 'sys', 'my_module.functions']",22,119,5,0,15,15,5,5,SP21
SP21_C00_027,71.51,HTML,None of these,4.0,4.0,8.0,15.0,22.0,6.0,0.0,0.0,,,59.0,Bardolph,SP21,122,5,"['random', 'random', 'random', 'sys', 'my_module.functions']",8,51,11,2,2,2,10,1,SP21
SP21_C00_028,87.97,"Java, Javascript, C/C++",Write and debug small Python programs,5.0,5.0,10.0,20.0,26.0,8.0,5.0,8.5,,,88.5,Bardolph,SP21,118,13,"['requests', 'time', 'datetime', 'numpy', 'math', 'classes', 'requests', 'time', 'datetime', 'numpy', 'math', 'IPython.display', 'functions']",124,469,9,1,6,8,5,0,SP21
SP21_C00_029,91.02,I've never programmed before!,None of these,5.0,5.0,9.0,15.0,28.0,8.5,7.0,6.0,,,83.5,Bardolph,SP21,80,2,"['sys', 'my_module.functions']",23,160,7,0,7,7,6,0,SP21
SP21_C00_030,87.62,I've never programmed before!,None of these,5.0,4.5,10.0,20.0,22.0,10.0,10.0,7.0,,,88.5,Bardolph,SP21,30,3,"['time', 'sys', 'my_module.functions']",41,268,3,0,3,4,2,2,SP21
SP21_C00_031,90.02,"Python, Java, R","Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Write and debug small Python programs, Execute Python programs on your local computer, using notebooks and the command line, Describe and implement best practices in Python, keeping in mind that programming is done by and for humans",5.0,3.0,0.0,20.0,24.0,10.0,3.0,0.0,,,65.0,Bardolph,SP21,55,7,"['pandas', 'pandas', 'matplotlib', 'seaborn', 'analysis', 'sys', 'my_module.functions']",19,154,8,0,2,2,1,0,SP21
SP21_C00_032,99.99,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,30.0,10.0,10.0,9.0,,,100.0,Bardolph,SP21,110,1,['random'],40,384,3,0,3,10,5,3,SP21
SP21_C00_033,97.64,I've never programmed before!,"Execute Python programs on your local computer, using notebooks and the command line",5.0,5.0,10.0,20.0,29.0,9.0,10.0,9.5,,,97.5,Bardolph,SP21,233,5,"['string', 'random', 'my_module.responses', 'sys', 'my_module.functions']",184,997,15,0,14,32,36,6,SP21
SP21_C00_034,77.5,I've never programmed before!,None of these,5.0,5.0,10.0,18.0,29.0,9.5,3.0,8.5,,,88.0,Bardolph,SP21,66,5,"['string', 'random', 'time', 'sys', 'my_module.functions']",9,55,8,0,10,31,7,1,SP21
SP21_C00_035,66.42,"I've never programmed before!, Python",Write and debug small Python programs,,,,,,,,,,,0.0,Bardolph,SP21,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,SP21
SP21_C00_036,86.64,I've never programmed before!,Solve basic problems using programmatic solutions,5.0,4.0,10.0,15.0,30.0,6.0,3.0,2.5,,,75.5,Bardolph,SP21,21,2,"['sys', 'my_module.functions']",23,225,3,1,2,2,2,1,SP21
SP21_C00_037,78.82,I've never programmed before!,None of these,5.0,4.0,10.0,15.0,30.0,10.0,3.0,6.0,,,83.0,Bardolph,SP21,93,2,"['sys', 'my_module.functions']",11,88,4,1,3,3,3,0,SP21
SP21_C00_038,95.87,I've never programmed before!,None of these,5.0,5.0,10.0,19.0,30.0,9.5,10.0,8.5,,,98.0,Bardolph,SP21,83,0,[],168,1175,5,0,3,3,29,3,SP21
SP21_C00_039,78.35,,,5.0,4.0,10.0,20.0,30.0,10.0,3.0,3.0,,,85.0,Bardolph,SP21,58,2,"['sys', 'my_module.functions']",31,294,3,0,2,3,1,4,SP21
SP21_C00_040,98.65,"Python, R","Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Write and debug small Python programs",5.0,4.0,10.0,20.0,30.0,10.0,10.0,10.0,,,100.0,Bardolph,SP21,37,2,"['pandas', 'sys']",39,211,3,0,6,18,0,0,SP21
SP21_C00_041,81.56,,,5.0,5.0,10.0,18.0,30.0,8.0,10.0,9.0,,,95.0,Bardolph,SP21,112,3,"['random', 'sys', 'my_module.functions']",130,661,9,0,3,4,8,0,SP21
SP21_C00_042,93.95,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,30.0,10.0,10.0,9.0,,,99.0,Bardolph,SP21,48,2,"['sys', 'my_module.functions']",52,298,5,1,4,9,3,1,SP21
SP21_C00_043,88.14,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,29.0,9.0,10.0,8.0,,,96.0,Bardolph,SP21,37,3,"['sys', 'my_module.functions', 'my_module.classes']",44,204,4,1,2,6,3,1,SP21
SP21_C00_044,99.61,I've never programmed before!,None of these,5.0,5.0,10.0,19.0,30.0,10.0,10.0,10.0,,,103.0,Bardolph,SP21,114,6,"['random', 'time', 'numpy', 'enchant', 'sys', 'my_module.functions']",105,418,7,0,4,16,9,4,SP21
SP21_C00_045,88.16,,,4.0,3.0,9.0,18.0,25.0,7.0,3.0,0.0,,,69.0,Bardolph,SP21,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,SP21
SP21_C00_046,93.66,I've never programmed before!,"Solve basic problems using programmatic solutions, Write and debug small Python programs",5.0,5.0,10.0,18.0,28.0,9.5,3.0,9.0,,,87.5,Bardolph,SP21,105,3,"['random', 'sys', 'my_module.functions']",9,57,5,0,3,8,1,0,SP21
SP21_C00_047,72.62,I've never programmed before!,None of these,5.0,4.5,10.0,20.0,30.0,10.0,10.0,8.0,,,97.5,Bardolph,SP21,91,4,"['TestCodeScript', 'random', 'random', 'random']",144,642,13,0,0,0,6,0,SP21
SP21_C00_048,94.27,I've never programmed before!,None of these,4.0,5.0,10.0,17.0,30.0,10.0,10.0,10.0,,,96.0,Bardolph,SP21,49,2,"['sys', 'my_module.functions']",41,215,3,0,3,7,2,2,SP21
SP21_C00_049,85.78,I've never programmed before!,None of these,5.0,5.0,10.0,18.0,25.0,10.0,9.0,6.0,,,88.0,Bardolph,SP21,43,3,"['random', 'sys', 'my_module.functions']",70,511,4,1,3,7,2,1,SP21
SP21_C00_050,81.76,I've never programmed before!,"Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions",5.0,4.0,5.0,19.0,23.0,9.0,3.0,0.0,,,68.0,Bardolph,SP21,107,2,"['sys', 'functions']",26,192,14,0,2,2,10,0,SP21
SP21_C00_051,94.19,I've done a little coding in shell for my microbiology lab,None of these,5.0,5.0,10.0,17.0,30.0,8.5,10.0,8.5,,,94.0,Bardolph,SP21,57,0,[],12,102,3,0,3,3,12,1,SP21
SP21_C00_052,100.97,R,None of these,5.0,5.0,10.0,20.0,30.0,10.0,10.0,10.0,,,101.0,Bardolph,SP21,61,4,"['numpy', 'pandas', 'sys', 'my_module.functions']",112,729,6,0,6,23,4,3,SP21
SP21_C00_053,97.55,"I've never programmed before!, Python",None of these,5.0,4.5,10.0,20.0,28.0,9.0,10.0,7.5,,,95.0,Bardolph,SP21,86,3,"['time', 'sys', 'my_module.functions']",68,324,5,0,5,5,14,2,SP21
SP21_C00_054,93.72,I've never programmed before!,None of these,5.0,3.0,8.0,20.0,30.0,8.5,10.0,6.0,,,90.5,Bardolph,SP21,56,2,"['sys', 'my_module.functions']",33,179,4,1,3,8,2,0,SP21
SP21_C00_055,85.31,"Python, Java, Javascript","Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Write and debug small Python programs, Execute Python programs on your local computer, using notebooks and the command line, Describe and implement best practices in Python, keeping in mind that programming is done by and for humans",5.0,4.0,7.0,15.0,17.5,8.0,9.0,0.0,,,65.5,Bardolph,SP21,14,2,"['sys', 'my_module.functions']",9,55,3,1,2,2,0,0,SP21
SP21_C00_056,56.49,I've never programmed before!,None of these,0.0,3.5,2.5,0.0,3.0,3.0,0.0,0.0,,,12.0,Bardolph,SP21,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,SP21
SP21_C00_057,100.18,Java,"Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions",5.0,5.0,10.0,20.0,30.0,10.0,10.0,10.0,,,104.0,Bardolph,SP21,53,6,"['cv2', 'pyzbar.pyzbar', 'time', 'webbrowser', 'sys', 'my_module.functions']",64,450,5,1,3,5,5,1,SP21
SP21_C00_057,100.18,Java,"Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions",5.0,5.0,10.0,20.0,28.0,10.0,10.0,10.0,,,102.0,Bardolph,SP21,53,6,"['cv2', 'pyzbar.pyzbar', 'time', 'webbrowser', 'sys', 'my_module.functions']",64,450,5,1,3,5,5,1,SP21
