anonymized,total_points,programming_background,pre_skills,Concept (Total),File Structure (Total),Project Description (Total),Approach (Total),Code (Total),Style (Total),Documentation (Total),Tests (Total),Fudge Points,Extra Credit,Total Score,instructor,quarter
SP21_B00_009,97.69,NA,NA,5,5,10,15,28,10,10,9,,,92.5,Ellis,SP21
SP21_B00_010,100.79,I've never programmed before!,None of these,5,3,10,20,30,8.5,9.5,10,,,96,Ellis,SP21
SP21_B00_011,89.65,I've never programmed before!,None of these,5,4.5,9,10,19,8,8,8,,,71.5,Ellis,SP21
SP21_B00_012,100.02,Java,Solve basic problems using programmatic solutions,5,4,10,19,30,9,10,9,,,96.5,Ellis,SP21
SP21_B00_013,95.49,I've never programmed before!,None of these,5,4,10,20,30,10,10,10,,,99,Ellis,SP21
SP21_B00_014,82.39,I've never programmed before!,None of these,5,4,8,15,15,9,0,0,,,56,Ellis,SP21
SP21_B00_015,97.08,I've never programmed before!,None of these,5,4,10,20,20,10,4,10,,,90,Ellis,SP21
SP21_B00_016,82.04,I've never programmed before!,None of these,0,5,10,20,30,10,10,8,,,95,Ellis,SP21
SP21_B00_017,101.6,"Python, Java, C/C++","Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Write and debug small Python programs, Execute Python programs on your local computer, using notebooks and the command line",5,4,10,20,28,10,10,10,,,97.5,Ellis,SP21
SP21_B00_018,81.29,I've never programmed before!,None of these,5,4.5,10,18,30,9,9,8,,,93.5,Ellis,SP21
SP21_B00_019,73.87,Java,None of these,5,3.5,10,20,17,7.5,0,0,,,63,Ellis,SP21
SP21_B00_020,94.54,I've never programmed before!,None of these,5,5,10,18,30,10,10,7,,,96,Ellis,SP21
SP21_B00_021,100.92,Maple,Solve basic problems using programmatic solutions,5,4.5,10,20,30,8.5,10,7.5,,,98.5,Ellis,SP21
SP21_B00_022,100.83,C/C++,Solve basic problems using programmatic solutions,5,4.5,10,20,30,10,10,10,,,101,Ellis,SP21
SP21_B00_023,91.92,I've never programmed before!,None of these,5,4,10,20,30,10,8,10,,,97,Ellis,SP21
SP21_C00_001,90.84,I've never programmed before!,None of these,5,5,10,18,28,10,10,7,,,93,Bardolph,SP21
SP21_C00_002,90.55,I've never programmed before!,None of these,5,4.5,10,20,27,9.5,10,10,,,97,Bardolph,SP21
SP21_C00_003,84.89,NA,NA,5,5,10,16,28,5,10,7,,,86,Bardolph,SP21
SP21_C00_004,93.35,I've never programmed before!,None of these,5,5,10,18,30,8.5,5,6,,,87.5,Bardolph,SP21
SP21_C00_005,94.64,I've never programmed before!,None of these,5,4,10,20,27.5,10,3,9,,,89.5,Bardolph,SP21
SP21_C00_006,78.39,NA,NA,5,4,6.5,15,24,8,8,5,,,76.5,Bardolph,SP21
SP21_C00_007,89.46,I've never programmed before!,None of these,5,4.5,10,20,30,10,10,10,,,99.5,Bardolph,SP21
SP21_C00_007,89.46,I've never programmed before!,None of these,5,4.5,10,20,30,10,10,10,,,99.5,Bardolph,SP21
SP21_C00_008,88.23,I've never programmed before!,None of these,5,4,10,20,30,9,9,6,,,93,Bardolph,SP21
SP21_C00_009,101.44,Java,None of these,5,5,10,20,30,10,10,9.5,,,99.5,Bardolph,SP21
SP21_C00_010,90.72,I've never programmed before!,None of these,5,5,10,20,29,10,10,7,,,97.5,Bardolph,SP21
SP21_C00_011,100.91,Python,"Program at an introductory level in the Python programming language, Solve basic problems using programmatic solutions, Write and debug small Python programs",5,4,10,18,30,10,10,8,,,98,Bardolph,SP21
