project_name,lines_code,num_imports,imports,lines_comments,num_comments_words,num_functions,num_classes,num_tests,num_asserts,num_logic,num_loops,project_quarter
SP21_B00_021,558,13,"['PCandNPC', 'copy', 'random', 'pytest', 'CharacterClass', 'Creatures', 'PCandNPC', 'Creatures', 'CharacterClass', 'time', 'random', 'sys', 'PCandNPC']",397,2614,22,11,0,0,34,1,SP21
SP21_B00_019,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,SP21
WI21_A00_047,50,1,['random'],67,318,7,1,3,6,4,0,WI21
SP21_B00_010,182,3,"['collections', 'sys', 'my_module.functions']",157,699,13,1,5,19,16,5,SP21
SP21_B00_017,36,3,"['numpy', 'sys', 'my_module.functions']",67,324,4,0,4,4,0,1,SP21
WI21_A00_040,78,7,"['lists', 'string', 'random', 'nltk', 'IPython.display', 'sys', 'my_module.functions']",28,283,11,0,2,2,8,6,WI21
WI21_A00_014,173,5,"['string', 'random', 'my_module.functions', 'sys', 'my_module.functions']",40,306,14,1,4,5,18,4,WI21
WI21_A00_013,21,4,"['numpy', 'pandas', 'statistics', 'statistics']",15,113,3,0,3,2,0,1,WI21
WI21_A00_025,151,0,[],129,629,9,0,9,9,4,13,WI21
WI21_A00_022,64,4,"['numpy', 'random', 'sys', 'my_module.functions']",49,231,7,1,4,14,3,0,WI21
WI21_A00_041,11,2,"['sys', 'my_module.functions']",9,55,3,0,2,2,0,0,WI21
SP21_B00_016,305,3,"['random', 'random', 'my_module']",355,2457,26,0,8,20,38,8,SP21
SP21_B00_011,62,4,"['string', 'random', 'sys', 'my_module.functions']",130,650,8,0,11,27,5,5,SP21
WI21_A00_046,37,4,"['time', 'canvasapi', 'flask', 'flirror.modules']",18,83,2,0,0,0,1,2,WI21
SP21_B00_018,71,3,"['classes', 'sys', 'my_module.functions']",34,269,3,1,3,8,2,1,SP21
SP21_B00_020,126,3,"['random', 'random', 'fractions']",14,279,10,0,6,10,8,0,SP21
WI21_A00_023,292,20,"['numpy', 'pandas', 'scipy', 'matplotlib.pyplot', 'sklearn.model_selection', 'sklearn.preprocessing', 'sklearn.tree', 'sklearn.metrics', 'numpy', 'pandas', 'scipy', 'matplotlib.pyplot', 'functions', 'numpy', 'pandas', 'scipy', 'matplotlib.pyplot', 'sklearn.model_selection', 'sklearn.preprocessing', 'sklearn.tree']",225,1001,14,0,4,22,9,0,WI21
WI21_A00_024,91,2,"['random', 'requests']",90,470,7,0,4,13,7,2,WI21
WI21_A00_012,83,0,[],90,748,7,1,3,9,9,0,WI21
WI21_A00_015,79,3,"['random', 'sys', 'my_module.functions']",59,334,5,0,5,22,6,1,WI21
